starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 05 21:22:44 2021	1625516564	0	40	40	34
Mon Jul 05 21:22:44 2021	1625516564	4	165	169	164
Mon Jul 05 21:22:44 2021	1625516564	4	174	178	174
Mon Jul 05 21:22:44 2021	1625516564	5	185	189	184
Mon Jul 05 21:22:44 2021	1625516564	4	187	192	187
Mon Jul 05 21:22:44 2021	1625516564	4	218	222	218
Mon Jul 05 21:22:44 2021	1625516564	4	240	244	240
Mon Jul 05 21:22:44 2021	1625516564	2	646	648	646
Mon Jul 05 21:22:44 2021	1625516564	2	658	660	657
Mon Jul 05 21:22:44 2021	1625516564	2	688	690	687
Mon Jul 05 21:22:44 2021	1625516564	2	717	719	717
Mon Jul 05 21:22:44 2021	1625516564	3	719	721	718
Mon Jul 05 21:22:44 2021	1625516564	2	730	732	730
Mon Jul 05 21:22:44 2021	1625516564	2	744	746	743
Mon Jul 05 21:22:44 2021	1625516564	2	746	748	746
Mon Jul 05 21:22:44 2021	1625516564	2	764	766	763
Mon Jul 05 21:22:44 2021	1625516564	2	772	774	772
Mon Jul 05 21:22:44 2021	1625516564	2	774	775	773
Mon Jul 05 21:22:44 2021	1625516564	3	776	779	776
Mon Jul 05 21:22:44 2021	1625516564	3	790	793	790
Mon Jul 05 21:22:44 2021	1625516564	4	789	794	789
Mon Jul 05 21:22:44 2021	1625516564	2	802	805	802
Mon Jul 05 21:22:44 2021	1625516564	3	803	806	803
Mon Jul 05 21:22:44 2021	1625516564	2	818	820	818
Mon Jul 05 21:22:44 2021	1625516564	2	830	832	829
Mon Jul 05 21:22:44 2021	1625516564	3	849	852	849
Mon Jul 05 21:22:44 2021	1625516564	2	854	857	854
Mon Jul 05 21:22:44 2021	1625516564	2	908	910	908
Mon Jul 05 21:22:44 2021	1625516564	3	914	917	914
Mon Jul 05 21:22:44 2021	1625516564	4	921	925	921
Mon Jul 05 21:22:44 2021	1625516564	2	924	927	924
Mon Jul 05 21:22:44 2021	1625516564	3	928	931	928
Mon Jul 05 21:22:44 2021	1625516564	2	931	933	931
Mon Jul 05 21:22:46 2021	1625516566	0	942	942	940
Mon Jul 05 21:22:44 2021	1625516564	3	942	945	942
Mon Jul 05 21:22:44 2021	1625516564	3	944	947	943
Mon Jul 05 21:22:44 2021	1625516564	4	950	954	949
Mon Jul 05 21:22:45 2021	1625516565	0	958	958	957
Mon Jul 05 21:22:44 2021	1625516564	4	954	958	954
Mon Jul 05 21:22:44 2021	1625516564	3	955	958	954
Mon Jul 05 21:22:53 2021	1625516573	0	963	963	963
Mon Jul 05 21:22:44 2021	1625516564	2	964	966	963
Mon Jul 05 21:22:53 2021	1625516573	0	970	970	970
Mon Jul 05 21:22:53 2021	1625516573	0	971	971	970
Mon Jul 05 21:22:44 2021	1625516564	2	970	972	970
Mon Jul 05 21:22:53 2021	1625516573	0	978	978	977
Mon Jul 05 21:22:44 2021	1625516564	3	978	981	977
Mon Jul 05 21:22:50 2021	1625516570	0	983	983	983
