starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 05 21:20:42 2021	1625516442	0	37	37	31
Mon Jul 05 21:20:43 2021	1625516443	4	379	383	378
Mon Jul 05 21:20:43 2021	1625516443	2	420	422	420
Mon Jul 05 21:20:43 2021	1625516443	3	421	424	421
Mon Jul 05 21:20:43 2021	1625516443	2	464	466	464
Mon Jul 05 21:20:43 2021	1625516443	2	476	478	475
Mon Jul 05 21:20:43 2021	1625516443	1	480	481	480
Mon Jul 05 21:20:43 2021	1625516443	3	502	505	501
Mon Jul 05 21:20:43 2021	1625516443	1	514	515	514
Mon Jul 05 21:20:43 2021	1625516443	3	564	567	563
Mon Jul 05 21:20:43 2021	1625516443	1	581	582	581
Mon Jul 05 21:20:43 2021	1625516443	4	591	594	590
Mon Jul 05 21:20:43 2021	1625516443	3	604	606	603
Mon Jul 05 21:20:43 2021	1625516443	3	611	614	610
Mon Jul 05 21:20:43 2021	1625516443	2	627	630	627
Mon Jul 05 21:20:43 2021	1625516443	1	635	636	634
Mon Jul 05 21:20:43 2021	1625516443	2	634	637	634
Mon Jul 05 21:20:43 2021	1625516443	1	699	700	698
Mon Jul 05 21:20:43 2021	1625516443	4	813	817	813
Mon Jul 05 21:20:43 2021	1625516443	3	835	838	835
Mon Jul 05 21:20:43 2021	1625516443	1	839	840	839
Mon Jul 05 21:20:43 2021	1625516443	2	839	842	839
Mon Jul 05 21:20:43 2021	1625516443	3	839	842	838
Mon Jul 05 21:20:43 2021	1625516443	3	861	864	860
Mon Jul 05 21:20:43 2021	1625516443	2	871	873	871
Mon Jul 05 21:20:43 2021	1625516443	1	873	874	872
Mon Jul 05 21:20:43 2021	1625516443	2	886	888	886
Mon Jul 05 21:20:43 2021	1625516443	4	893	897	892
Mon Jul 05 21:21:09 2021	1625516469	0	906	906	906
Mon Jul 05 21:20:43 2021	1625516443	3	932	936	932
Mon Jul 05 21:20:43 2021	1625516443	4	934	937	933
Mon Jul 05 21:20:43 2021	1625516443	2	949	950	948
Mon Jul 05 21:21:09 2021	1625516469	0	971	971	970
Mon Jul 05 21:21:09 2021	1625516469	0	974	974	970
Mon Jul 05 21:21:09 2021	1625516469	0	977	977	975
Mon Jul 05 21:21:09 2021	1625516469	0	981	981	980
Mon Jul 05 21:21:09 2021	1625516469	0	981	981	981
Mon Jul 05 21:21:09 2021	1625516469	0	991	991	988
Mon Jul 05 21:20:43 2021	1625516443	2	998	999	997
Mon Jul 05 21:21:09 2021	1625516469	0	1000	1000	999
Mon Jul 05 21:21:09 2021	1625516469	0	1002	1002	1001
Mon Jul 05 21:20:43 2021	1625516443	2	1001	1002	1000
Mon Jul 05 21:21:09 2021	1625516469	0	1006	1006	1004
Mon Jul 05 21:20:43 2021	1625516443	2	1005	1007	1004
Mon Jul 05 21:20:54 2021	1625516454	0	1009	1009	1009
Mon Jul 05 21:20:43 2021	1625516443	1	1010	1011	1009
Mon Jul 05 21:20:43 2021	1625516443	2	1014	1017	1014
Mon Jul 05 21:20:43 2021	1625516443	1	1018	1019	1017
Mon Jul 05 21:21:09 2021	1625516469	0	1021	1021	1021
Mon Jul 05 21:20:45 2021	1625516445	0	1030	1030	1030
Mon Jul 05 21:21:09 2021	1625516469	0	1034	1034	1033
Mon Jul 05 21:21:09 2021	1625516469	0	1034	1034	1033
Mon Jul 05 21:20:47 2021	1625516447	0	1034	1035	1034
Mon Jul 05 21:20:43 2021	1625516443	3	1038	1041	1038
Mon Jul 05 21:20:43 2021	1625516443	3	1039	1043	1039
Mon Jul 05 21:20:59 2021	1625516459	0	1043	1043	1042
Mon Jul 05 21:20:43 2021	1625516443	2	1042	1044	1041
Mon Jul 05 21:20:49 2021	1625516449	0	1044	1044	1043
Mon Jul 05 21:20:49 2021	1625516449	0	1045	1046	1045
Mon Jul 05 21:20:45 2021	1625516445	0	1048	1048	1048
Mon Jul 05 21:21:01 2021	1625516461	0	1049	1049	1049
Mon Jul 05 21:21:09 2021	1625516469	0	1052	1052	1050
Mon Jul 05 21:20:49 2021	1625516449	0	1052	1052	1052
Mon Jul 05 21:21:09 2021	1625516469	0	1055	1056	1052
Mon Jul 05 21:20:46 2021	1625516446	0	1056	1056	1056
Mon Jul 05 21:20:49 2021	1625516449	0	1058	1058	1057
Mon Jul 05 21:20:45 2021	1625516445	0	1059	1059	1059
Mon Jul 05 21:20:45 2021	1625516445	0	1060	1060	1060
Mon Jul 05 21:20:45 2021	1625516445	0	1063	1063	1063
Mon Jul 05 21:20:55 2021	1625516455	0	1066	1066	1065
Mon Jul 05 21:21:09 2021	1625516469	0	1069	1069	1069
Mon Jul 05 21:20:55 2021	1625516455	0	1072	1072	1071
Mon Jul 05 21:20:45 2021	1625516445	0	1072	1072	1071
Mon Jul 05 21:20:49 2021	1625516449	1	1072	1073	1071
Mon Jul 05 21:20:45 2021	1625516445	0	1076	1076	1075
Mon Jul 05 21:20:55 2021	1625516455	0	1078	1078	1078
Mon Jul 05 21:20:48 2021	1625516448	0	1079	1079	1078
Mon Jul 05 21:20:49 2021	1625516449	0	1080	1080	1079
Mon Jul 05 21:20:56 2021	1625516456	0	1080	1080	1079
Mon Jul 05 21:20:49 2021	1625516449	0	1081	1081	1080
Mon Jul 05 21:20:55 2021	1625516455	0	1081	1081	1080
Mon Jul 05 21:20:45 2021	1625516445	1	1081	1081	1080
Mon Jul 05 21:20:47 2021	1625516447	0	1081	1081	1081
Mon Jul 05 21:21:09 2021	1625516469	0	1085	1085	1085
Mon Jul 05 21:21:09 2021	1625516469	0	1085	1086	1085
Mon Jul 05 21:20:45 2021	1625516445	1	1088	1089	1088
Mon Jul 05 21:20:58 2021	1625516458	0	1091	1091	1090
Mon Jul 05 21:20:47 2021	1625516447	0	1092	1092	1091
Mon Jul 05 21:20:45 2021	1625516445	1	1091	1092	1090
Mon Jul 05 21:20:47 2021	1625516447	0	1093	1093	1093
Mon Jul 05 21:20:47 2021	1625516447	0	1094	1094	1094
Mon Jul 05 21:20:47 2021	1625516447	0	1096	1096	1095
Mon Jul 05 21:20:54 2021	1625516454	0	1099	1099	1098
Mon Jul 05 21:20:58 2021	1625516458	0	1099	1099	1099
Mon Jul 05 21:20:59 2021	1625516459	0	1099	1099	1099
Mon Jul 05 21:20:53 2021	1625516453	0	1099	1099	1099
Mon Jul 05 21:20:55 2021	1625516455	0	1100	1100	1100
Mon Jul 05 21:20:54 2021	1625516454	0	1101	1101	1100
Mon Jul 05 21:20:56 2021	1625516456	0	1101	1101	1101
Mon Jul 05 21:20:55 2021	1625516455	0	1102	1102	1101
Mon Jul 05 21:20:47 2021	1625516447	0	1102	1102	1102
Mon Jul 05 21:21:01 2021	1625516461	0	1104	1104	1103
Mon Jul 05 21:20:57 2021	1625516457	0	1104	1104	1103
Mon Jul 05 21:20:54 2021	1625516454	0	1105	1106	1105
Mon Jul 05 21:20:59 2021	1625516459	0	1107	1107	1106
Mon Jul 05 21:20:58 2021	1625516458	0	1107	1107	1106
Mon Jul 05 21:21:09 2021	1625516469	0	1107	1107	1106
Mon Jul 05 21:21:09 2021	1625516469	0	1108	1108	1108
Mon Jul 05 21:20:55 2021	1625516455	0	1109	1109	1108
Mon Jul 05 21:21:09 2021	1625516469	1	1109	1109	1106
Mon Jul 05 21:20:56 2021	1625516456	0	1110	1110	1109
Mon Jul 05 21:20:48 2021	1625516448	0	1111	1111	1110
Mon Jul 05 21:20:52 2021	1625516452	0	1111	1111	1111
Mon Jul 05 21:20:52 2021	1625516452	0	1112	1113	1112
Mon Jul 05 21:20:54 2021	1625516454	0	1113	1113	1112
Mon Jul 05 21:20:58 2021	1625516458	0	1113	1113	1113
Mon Jul 05 21:20:47 2021	1625516447	0	1113	1114	1112
Mon Jul 05 21:20:59 2021	1625516459	0	1116	1116	1115
Mon Jul 05 21:20:54 2021	1625516454	0	1117	1117	1116
Mon Jul 05 21:20:49 2021	1625516449	0	1119	1119	1118
Mon Jul 05 21:20:54 2021	1625516454	0	1119	1119	1119
Mon Jul 05 21:20:58 2021	1625516458	0	1119	1119	1119
Mon Jul 05 21:20:56 2021	1625516456	0	1119	1120	1119
Mon Jul 05 21:20:59 2021	1625516459	0	1120	1120	1119
Mon Jul 05 21:20:47 2021	1625516447	0	1120	1120	1120
Mon Jul 05 21:20:55 2021	1625516455	0	1120	1120	1120
Mon Jul 05 21:20:48 2021	1625516448	0	1121	1121	1120
Mon Jul 05 21:20:53 2021	1625516453	0	1122	1122	1121
Mon Jul 05 21:20:57 2021	1625516457	0	1123	1123	1122
Mon Jul 05 21:20:48 2021	1625516448	0	1123	1123	1122
Mon Jul 05 21:21:09 2021	1625516469	0	1123	1123	1122
Mon Jul 05 21:21:02 2021	1625516462	0	1123	1124	1122
Mon Jul 05 21:20:48 2021	1625516448	0	1124	1124	1124
Mon Jul 05 21:20:57 2021	1625516457	0	1125	1125	1125
Mon Jul 05 21:20:52 2021	1625516452	0	1126	1126	1125
Mon Jul 05 21:20:54 2021	1625516454	0	1126	1126	1126
Mon Jul 05 21:20:47 2021	1625516447	0	1127	1127	1127
Mon Jul 05 21:21:01 2021	1625516461	0	1128	1128	1127
Mon Jul 05 21:20:55 2021	1625516455	0	1127	1128	1127
Mon Jul 05 21:20:59 2021	1625516459	0	1128	1128	1128
Mon Jul 05 21:20:45 2021	1625516445	0	1128	1128	1128
Mon Jul 05 21:20:57 2021	1625516457	0	1128	1128	1128
